epoch,n2_probability,prediction,prediction_text,actual_stage,actual_label,correct,smoothed_n2_probability,recent_n2_windows,smoothed_state,state_event
100,0.89006877,1,N2,N2,1,True,0.89006877,1,Non-N2,START
101,0.9111185,1,N2,N2,1,True,0.900593635,2,Non-N2,
102,0.88601017,1,N2,N2,1,True,0.89573248,3,N2,STATE_CHANGE
103,0.922501,1,N2,N2,1,True,0.90242461,4,N2,
104,0.8566622,1,N2,N2,1,True,0.8932721280000001,5,N2,
105,0.935301,1,N2,N2,1,True,0.902318574,5,N2,
106,0.77624285,1,N2,N2,1,True,0.8753434440000001,5,N2,
107,0.9138608,1,N2,N2,1,True,0.88091357,5,N2,
108,0.92248964,1,N2,N2,1,True,0.880911298,5,N2,
109,0.89633095,1,N2,N2,1,True,0.888845048,5,N2,
110,0.87044364,1,N2,N2,1,True,0.875873576,5,N2,
111,0.93343246,1,N2,N2,1,True,0.907311498,5,N2,
112,0.91054374,1,N2,N2,1,True,0.906648086,5,N2,
113,0.81955904,1,N2,N2,1,True,0.886061966,5,N2,
114,0.6462494,1,N2,N2,1,True,0.8360456559999999,5,N2,
115,0.82401186,1,N2,N2,1,True,0.8267593,5,N2,
116,0.94256085,1,N2,N2,1,True,0.828584978,5,N2,
117,0.91301507,1,N2,N2,1,True,0.8290792440000001,5,N2,
118,0.92051935,1,N2,N2,1,True,0.849271306,5,N2,
119,0.9047069,1,N2,N2,1,True,0.9009628060000001,5,N2,
120,0.80762255,1,N2,N2,1,True,0.8976849440000001,5,N2,
121,0.7798476,1,N2,N2,1,True,0.865142294,5,N2,
122,0.8419081,1,N2,N2,1,True,0.8509209,5,N2,
123,0.80972683,1,N2,N2,1,True,0.8287623959999999,5,N2,
124,0.89653146,1,N2,N2,1,True,0.827127308,5,N2,
125,0.8899799,1,N2,N2,1,True,0.8435987779999999,5,N2,
126,0.8540874,1,N2,N2,1,True,0.8584467379999999,5,N2,
127,0.80885535,1,N2,N2,1,True,0.851836188,5,N2,
128,0.89328986,1,N2,N2,1,True,0.868548794,5,N2,
129,0.87189615,1,N2,N2,1,True,0.863621732,5,N2,
130,0.8958299,1,N2,N2,1,True,0.8647917319999999,5,N2,
131,0.27193838,0,Non-N2,N2,1,False,0.7483619279999999,4,N2,
132,0.8159695,1,N2,N2,1,True,0.7497847579999999,4,N2,
133,0.9204087,1,N2,N2,1,True,0.7552085259999999,4,N2,
134,0.8690348,1,N2,N2,1,True,0.754636256,4,N2,
135,0.71007633,1,N2,N2,1,True,0.717485542,4,N2,
136,0.905874,1,N2,N2,1,True,0.844272666,5,N2,
137,0.90246093,1,N2,N2,1,True,0.8615709519999999,5,N2,
138,0.89654046,1,N2,N2,1,True,0.856797304,5,N2,
139,0.7022561,1,N2,N2,1,True,0.823441564,5,N2,
140,0.9370691,1,N2,N2,1,True,0.8688401179999999,5,N2,
141,0.6888054,1,N2,N2,1,True,0.8254263980000001,5,N2,
142,0.9096866,1,N2,N2,1,True,0.826871532,5,N2,
143,0.06188946,0,Non-N2,W,0,True,0.659941332,4,N2,
144,0.028827082,0,Non-N2,W,0,True,0.5252555284,3,N2,
145,0.031567626,0,Non-N2,W,0,True,0.34415523360000005,2,Non-N2,STATE_CHANGE
146,0.024739077,0,Non-N2,W,0,True,0.21134196900000002,1,Non-N2,
147,0.9230357,1,N2,N2,1,True,0.214011789,1,Non-N2,
148,0.6954711,1,N2,W,0,False,0.340728117,2,Non-N2,
149,0.055701025,0,Non-N2,W,0,True,0.3461029056,2,Non-N2,
